标题,朝代,作者,体裁,内容
游王官谷,金,丁炜仁,五言律诗,策杖登山壁，幽泉下碧虚。细帘垂丈室，琼液泻方壶。峻石高飞雪，悬崖乱溅珠。此来无俗客，清气爽襟裾。
﻿渭水,金,刁白,五言律诗,渭水秋天白，骊山晚照红。行人迷古道，老马识新丰。霜雪满归鬓，乾坤犹转蓬。愁来成独酌，醉袖障西风。
﻿物质,金,刁白,五言律诗,物质方圆定，营营止自疲。鹤凫伤断续，鹏鴳失高卑。巧宦多成拙，徐行未必迟。可怜筝上雁，来往听人移。
﻿送花,金,刁白,七言绝句,纵横诗酒少年曾，老矣追欢谢不能。种出好花无用处，东邻乞与坐禅僧。
﻿雨后,金,元德明,五言律诗,十日山中雨，今朝见夕阳。乾坤觉清旷，草棘有辉光。竹影摇残滴，松声送晚凉。南窗聊自适，无用说羲皇。
﻿览镜,金,元德明,五言律诗,四十宜未老，年年添鬓丝。直教随牒去，也是挂冠时。台阁多新赋，山林有逸诗。悠然一尊酒，满酌不须辞。
﻿室人生朝,金,元德明,五言律诗,新酒清浑共，糟床洗盏尝。平时唯欲醉，此日重难忘。容服惭王霸，山林得孟光。白头翁与媪，万事听诸郎。
﻿山中秋夕,金,元德明,五言律诗,黄卷存馀习，青灯共晚凉。只知书味永，不觉鬓丝长。老桧千年物，幽兰一国香。平生陶靖节，此夕邈相望。
﻿秋暮王氏园亭,金,元德明,五言律诗,细径云林底，危亭涧水湄。秋先殒黄叶，寒未老红葵。嚼句幽禽答，寻花晚蝶随。无人共幽兴，思与野僧期。
﻿诗,金,元德明,五言律诗,少有吟诗癖，吟来欲白头。科名不肯换，家事几曾忧。含咀将谁语，研摩若自雠。百年閒伎俩，直到死时休。
﻿遣兴,金,元德明,五言律诗,张翰一杯酒，林逋千首诗。性惟便自适，材敢论时施。狡兔从三窟，鹪鹩分一枝。青山有佳色，只似往年时。
﻿发冀州留别恩禅师,金,元德明,五言律诗,诗拙非同社，情亲本故乡。共知成远别，且复暂相将。池古莲花净，窗深桧叶香。何时重携酒，来宿赞公房。
﻿灯下读林和靖诗,金,元德明,五言律诗,落叶落复落，清霜今几番。疏灯照茅屋，山月入颓垣。老爱寒花淡，幽嫌宿鸟喧。卷中林处士，相对两忘言。
