标题,朝代,作者,体裁,内容
遗于仲文诗,隋,乙支文德,古风,神策究天文，妙算穷地理。战胜功既高，知足愿云止。
十索四首 其一 ,隋,丁六娘,古风,裙裁孔雀罗，红绿相参对。映以蛟龙锦，分明奇可爱。粗细君自知，从郎索衣带。
十索四首 其二 ,隋,丁六娘,古风,为性爱风光，偏憎良夜促。曼眼腕中娇，相看无厌足。欢情不耐眠，从郎索花烛。
十索四首 其三 ,隋,丁六娘,古风,君言花胜人，人今去花近。寄语落花风，莫吹花落尽。欲作胜花妆，从郎索红粉。
十索四首 其四 ,隋,丁六娘,古风,二八好容颜，非意得相关。逢桑欲采折，寻枝倒懒攀。欲呈纤纤手，从郎索指环。
十索二首 其一 ,隋,丁六娘,古风,含娇不自转，送眼劳相望。无那关情伴，共入同心帐。欲防人眼多，从郎索锦障。
十索二首 其二 ,隋,丁六娘,古风,兰房下翠帷，莲帐舒鸳锦。欢情宜早畅，密意须同寝。欲共作缠绵，从郎索花枕。
王昭君,隋,上官仪,五言律诗,玉关春色晚，金河路几千。琴悲桂条上，笛怨柳花前。雾掩临妆月，风惊入鬓蝉。缄书待还使，泪尽白云天。
咏雪应诏,隋,上官仪,五言律诗,禁园凝朔气，瑞雪掩晨曦。花明栖凤阁，珠散影娥池。飘素迎歌上，翻光向舞移。幸因千里映，还绕万年枝。
江王太妃挽歌,隋,上官仪,五言律诗,黄鹤悲歌绝，椒花清颂馀。埃凝写邻镜，网结和扉鱼。银消风烛尽，珠灭夜轮虚。别有南陵路，幽丛临叶疏。
故北平公挽歌,隋,上官仪,五言律诗,木落园林旷，庭虚风露寒。北里清音绝，南陔芳草残。远气犹标剑，浮云尚写冠。寂寂琴台晚，秋阴入井干。
高密长公主挽歌,隋,上官仪,五言律诗,湘渚韬灵迹，娥台静瑞音。凤逐清箫远，鸾随幽镜沈。霜处华芙落，风前银烛侵。寂寞平阳宅，月冷洞房深。
五言奉和咏棋应诏 其一 ,隋,上官仪,五言律诗,宝局光仙岫，瑶棋掩帝台。图云双阵起，雁写两行开。固节修常道，侵边慎祸胎。□□□储妙，空挹季长才。
五言奉和咏棋应诏 其二 ,隋,上官仪,五言律诗,定位资裨将，制变伫中权。重关□宿立，六出带花圆。引寇疏疑绝，窥强怯未前。金枰自韫粹，玉帐岂能传。
五言侍宴延庆殿同赋别离得凌霜雁应诏,隋,上官仪,五言律诗,凉沙起关塞，候雁下江干。流声度迥月，浮影入长澜。系书天路远，避缴晓风寒。□□□□曲，先惊霜翮残。
咏画障,隋,上官仪,七言律诗,芳晨丽日桃花浦，珠帘翠帐凤凰楼。蔡女菱歌移锦缆，燕姬春望上琼钩。新妆漏影浮轻扇，冶袖飘香入浅流。未减行雨荆台下，自比凌波洛浦游。
入朝洛堤步行,隋,上官仪,五言绝句,脉脉广川流，驱马历长洲。鹊飞山月曙，蝉噪野风秋。评注（点击查看或隐藏评注）
